"series_id","name","url","season","format","max_innings"
787103,"WICB Professional Cricket League Regional 4 Day Tournament","https://www.espncricinfo.com/series/wicb-professional-cricket-league-regional-4-day-tournament-2014-15-787103","2014/15","test",4
775441,"Ranji Trophy","https://www.espncricinfo.com/series/ranji-trophy-2014-15-775441","2014/15","test",4
801337,"Premier League Tournament","https://www.espncricinfo.com/series/premier-league-tournament-2014-15-801337","2014/15","test",4
737415,"England Lions in South Africa unofficial Test Series","https://www.espncricinfo.com/series/england-lions-in-south-africa-unofficial-test-series-2014-15-737415","2014/15","test",4
821935,"National Cricket League","https://www.espncricinfo.com/series/national-cricket-league-2014-15-821935","2014/15","test",4
775439,"Irani Cup","https://www.espncricinfo.com/series/irani-cup-2014-15-775439","2014/15","test",4
775067,"Zimbabwe A in Bangladesh unofficial ODI Series","https://www.espncricinfo.com/series/zimbabwe-a-in-bangladesh-unofficial-odi-series-2014-15-775067","2014/15","odi",2
754823,"Matador BBQs One-Day Cup","https://www.espncricinfo.com/series/matador-bbqs-one-day-cup-2014-15-754823","2014/15","odi",2
783841,"CSA Provincial 50 Over Challenge","https://www.espncricinfo.com/series/csa-provincial-50-over-challenge-2014-15-783841","2014/15","test",4
736123,"Momentum One Day Cup","https://www.espncricinfo.com/series/momentum-one-day-cup-2014-15-736123","2014/15","odi",2
785941,"Pakistan A in United Arab Emirates unofficial ODI Series","https://www.espncricinfo.com/series/pakistan-a-in-united-arab-emirates-unofficial-odi-series-2014-15-785941","2014/15","odi",2
785041,"West Indies A in Sri Lanka unofficial ODI Series","https://www.espncricinfo.com/series/west-indies-a-in-sri-lanka-unofficial-odi-series-2014-15-785041","2014/15","odi",2
775447,"Vijay Hazare Trophy","https://www.espncricinfo.com/series/vijay-hazare-trophy-2014-15-775447","2014/15","test",4
791513,"Pro50 Championship","https://www.espncricinfo.com/series/pro50-championship-2014-15-791513","2014/15","test",4
798085,"Dhaka Premier Division","https://www.espncricinfo.com/series/dhaka-premier-division-2014-15-798085","2014/15","test",4
775449,"Deodhar Trophy","https://www.espncricinfo.com/series/deodhar-trophy-2014-15-775449","2014/15","test",4
801339,"Premier Limited Over Tournament","https://www.espncricinfo.com/series/premier-limited-over-tournament-2014-15-801339","2014/15","test",4
772813,"The Ford Trophy","https://www.espncricinfo.com/series/the-ford-trophy-2014-15-772813","2014/15","test",4
814361,"Cool & Cool Presents Haier Pentangular Cup One Day","https://www.espncricinfo.com/series/cool-&-cool-presents-haier-pentangular-cup-one-day-2014-15-814361","2014/15","odi",2
805715,"Nagico Super50","https://www.espncricinfo.com/series/nagico-super50-2014-15-805715","2014/15","test",4
812771,"ICC World Cricket League Division Two","https://www.espncricinfo.com/series/icc-world-cricket-league-division-two-2014-15-812771","2014/15","test",4
820191,"Haier President's Gold Cup One Day","https://www.espncricinfo.com/series/haier-presidents-gold-cup-one-day-2014-15-820191","2014/15","odi",2
820193,"Haier President's Silver Cup One Day","https://www.espncricinfo.com/series/haier-presidents-silver-cup-one-day-2014-15-820193","2014/15","odi",2
737417,"England Lions in South Africa unofficial ODI Series","https://www.espncricinfo.com/series/england-lions-in-south-africa-unofficial-odi-series-2014-15-737417","2014/15","odi",2
763543,"Champions League Twenty20","https://www.espncricinfo.com/series/champions-league-twenty20-2014-15-763543","2014/15","t20i",2
779411,"Bank Albaraka Presents Haier T20 Cup","https://www.espncricinfo.com/series/bank-albaraka-presents-haier-t20-cup-2014-15-779411","2014/15","t20i",2
783845,"CSA Provincial T20 Challenge","https://www.espncricinfo.com/series/csa-provincial-t20-challenge-2014-15-783845","2014/15","t20i",2
785847,"Georgie Pie Super Smash","https://www.espncricinfo.com/series/georgie-pie-super-smash-2014-15-785847","2014/15","t20i",2
791315,"Island of Origin","https://www.espncricinfo.com/series/island-of-origin-2014-15-791315","2014/15","test",4
736125,"Ram Slam T20 Challenge","https://www.espncricinfo.com/series/ram-slam-t20-challenge-2014-15-736125","2014/15","t20i",2
756733,"Big Bash League","https://www.espncricinfo.com/series/big-bash-league-2014-15-756733","2014/15","t20i",2
775445,"Syed Mushtaq Ali Trophy","https://www.espncricinfo.com/series/syed-mushtaq-ali-trophy-2014-15-775445","2014/15","test",4
854813,"SLC Twenty-20 Tournament","https://www.espncricinfo.com/series/slc-twenty-20-tournament-2014-15-854813","2014/15","test",4
797885,"South Africa Women in India Test Match","https://www.espncricinfo.com/series/south-africa-women-in-india-test-match-2014-15-797885","2014/15","test",4
772563,"ICC Women's Championship","https://www.espncricinfo.com/series/icc-womens-championship-2014-2016-17-772563","2014/15","test",4
762477,"New Zealand Women in West Indies ODI Series","https://www.espncricinfo.com/series/new-zealand-women-in-west-indies-odi-series-2014-15-762477","2014/15","odi",2
757497,"South Africa Women in Sri Lanka ODI Series","https://www.espncricinfo.com/series/south-africa-women-in-sri-lanka-odi-series-2014-15-757497","2014/15","odi",2
754783,"West Indies Women in Australia ODI Series","https://www.espncricinfo.com/series/west-indies-women-in-australia-odi-series-2014-15-754783","2014/15","odi",2
797887,"South Africa Women in India ODI Series","https://www.espncricinfo.com/series/south-africa-women-in-india-odi-series-2014-15-797887","2014/15","odi",2
808849,"Pakistan Women v Sri Lanka Women ODI Series","https://www.espncricinfo.com/series/pakistan-women-v-sri-lanka-women-odi-series-2014-15-808849","2014/15","odi",2
774843,"England Women in New Zealand ODI Series","https://www.espncricinfo.com/series/england-women-in-new-zealand-odi-series-2014-15-774843","2014/15","odi",2
828233,"Pakistan Women v South Africa Women ODI Series","https://www.espncricinfo.com/series/pakistan-women-v-south-africa-women-odi-series-2014-15-828233","2014/15","odi",2
762481,"New Zealand Women in West Indies T20I Series","https://www.espncricinfo.com/series/new-zealand-women-in-west-indies-t20i-series-2014-15-762481","2014/15","t20i",2
757501,"South Africa Women in Sri Lanka T20I Series","https://www.espncricinfo.com/series/south-africa-women-in-sri-lanka-t20i-series-2014-15-757501","2014/15","t20i",2
754781,"West Indies Women in Australia T20I Series","https://www.espncricinfo.com/series/west-indies-women-in-australia-t20i-series-2014-15-754781","2014/15","t20i",2
797889,"South Africa Women in India T20I Match","https://www.espncricinfo.com/series/south-africa-women-in-india-t20i-match-2014-15-797889","2014/15","t20i",2
808851,"Pakistan Women v Sri Lanka Women T20I Series","https://www.espncricinfo.com/series/pakistan-women-v-sri-lanka-women-t20i-series-2014-15-808851","2014/15","t20i",2
774845,"England Women in New Zealand T20I Series","https://www.espncricinfo.com/series/england-women-in-new-zealand-t20i-series-2014-15-774845","2014/15","t20i",2
828239,"Pakistan Women v South Africa Women T20I Series","https://www.espncricinfo.com/series/pakistan-women-v-south-africa-women-t20i-series-2014-15-828239","2014/15","t20i",2
789773,"Other Zimbabwe Matches","https://www.espncricinfo.com/series/other-zimbabwe-matches-2014-15-789773","2014/15","test",4
789633,"Afghanistan Regional 4-Day Tournament","https://www.espncricinfo.com/series/afghanistan-regional-4-day-tournament-2014-15-789633","2014/15","test",4
786523,"Futures League","https://www.espncricinfo.com/series/futures-league-2014-15-786523","2014/15","test",4
806087,"CSA Under-17s Cricket Week","https://www.espncricinfo.com/series/csa-under-17s-cricket-week-2014-15-806087","2014/15","test",4
806333,"Coca-Cola Khaya Majola Week","https://www.espncricinfo.com/series/coca-cola-khaya-majola-week-2014-15-806333","2014/15","test",4
842257,"Inter School's Annual Big Match","https://www.espncricinfo.com/series/inter-schools-annual-big-match-2014-15-842257","2014/15","test",4
777939,"ICC Cricket World Cup Associate Warm-up Matches","https://www.espncricinfo.com/series/icc-cricket-world-cup-associate-warm-up-matches-2014-15-777939","2014/15","odi",2
786705,"Women's National Cricket League","https://www.espncricinfo.com/series/womens-national-cricket-league-2014-15-786705","2014/15","test",4
756219,"ICC World Cricket League Division Three","https://www.espncricinfo.com/series/icc-world-cricket-league-division-three-2014-15-756219","2014/15","test",4
